org_name,ein,year,officer_comp,executive_director,title,source_url,notes
Nicetown CDC,233061705,2021,212458,,,,
Nicetown CDC,233061705,2022,204995,,,,
Nicetown CDC,233061705,2023,249359,,,,
Norris Square Community Alliance,261297642,2011,0,,,,
Norris Square Community Alliance,261297642,2012,0,,,,
Norris Square Community Alliance,261297642,2013,0,,,,
Norris Square Community Alliance,261297642,2014,0,,,,
Norris Square Community Alliance,261297642,2015,0,,,,
Norris Square Community Alliance,261297642,2016,0,,,,
Norris Square Community Alliance,261297642,2017,0,,,,
Norris Square Community Alliance,261297642,2018,0,,,,
Norris Square Community Alliance,261297642,2019,0,,,,
Norris Square Community Alliance,261297642,2020,0,,,,
Norris Square Community Alliance,261297642,2021,39990,,,,
Norris Square Community Alliance,261297642,2022,39858,,,,
Norris Square Community Alliance,261297642,2023,43740,,,,
Old City District,232176305,2011,,,,,
Old City District,232176305,2012,,,,,
Old City District,232176305,2013,,,,,
Old City District,232176305,2014,,,,,
Old City District,232176305,2015,,,,,
Old City District,232176305,2016,,,,,
Old City District,232176305,2017,,,,,
Old City District,232176305,2018,,,,,
Old City District,232176305,2019,,,,,
Old City District,232176305,2020,,,,,
Old City District,232176305,2021,,,,,
Old City District,232176305,2022,,,,,
Old City District,232176305,2023,,,,,
Overbrook West Neighbors CDC,824449937,2019,0,,,,
Overbrook West Neighbors CDC,824449937,2020,0,,,,
Overbrook West Neighbors CDC,824449937,2021,,,,,
Overbrook West Neighbors CDC,824449937,2022,0,,,,
Overbrook West Neighbors CDC,824449937,2023,0,,,,
Oxford Circle Christian Community Development Association,204984694,2011,25000,,,,
Oxford Circle Christian Community Development Association,204984694,2012,25600,,,,
Oxford Circle Christian Community Development Association,204984694,2013,32200,,,,
Oxford Circle Christian Community Development Association,204984694,2014,32200,,,,
Oxford Circle Christian Community Development Association,204984694,2015,33166,,,,
Oxford Circle Christian Community Development Association,204984694,2016,35961,,,,
Oxford Circle Christian Community Development Association,204984694,2017,46129,,,,
Oxford Circle Christian Community Development Association,204984694,2018,55200,,,,
Oxford Circle Christian Community Development Association,204984694,2019,64871,,,,
Oxford Circle Christian Community Development Association,204984694,2021,66365,,,,
Oxford Circle Christian Community Development Association,204984694,2022,71708,,,,
Oxford Circle Christian Community Development Association,204984694,2023,0,,,,
Philadelphia Chinatown Development Corporation,237439723,2011,0,,,,
Philadelphia Chinatown Development Corporation,237439723,2012,74200,,,,
Philadelphia Chinatown Development Corporation,237439723,2013,74200,,,,
Philadelphia Chinatown Development Corporation,237439723,2014,74492,,,,
Philadelphia Chinatown Development Corporation,237439723,2015,78200,,,,
Philadelphia Chinatown Development Corporation,237439723,2016,86250,,,,
Philadelphia Chinatown Development Corporation,237439723,2017,81900,,,,
Philadelphia Chinatown Development Corporation,237439723,2018,82561,,,,
Philadelphia Chinatown Development Corporation,237439723,2019,92633,,,,
Philadelphia Chinatown Development Corporation,237439723,2020,87633,,,,
Philadelphia Chinatown Development Corporation,237439723,2021,100790,,,,
Philadelphia Chinatown Development Corporation,237439723,2022,102034,,,,
