org_name,ein,year,pdf_url
East Falls Development Corporation,232805925,2010,https://projects.propublica.org/nonprofits/download-filing?path=2011_12_EO%2F23-2805925_990_201012.pdf
East Falls Development Corporation,232805925,2009,https://projects.propublica.org/nonprofits/download-filing?path=2010_07_EO%2F23-2805925_990_200912.pdf
East Falls Development Corporation,232805925,2008,https://projects.propublica.org/nonprofits/download-filing?path=2009_06_EO%2F23-2805925_990_200812.pdf
East Falls Development Corporation,232805925,2007,https://projects.propublica.org/nonprofits/download-filing?path=2008_11_EO%2F23-2805925_990_200712.pdf
East Falls Development Corporation,232805925,2006,https://projects.propublica.org/nonprofits/download-filing?path=2007_08_EO%2F23-2805925_990_200612.pdf
East Falls Development Corporation,232805925,2005,https://projects.propublica.org/nonprofits/download-filing?path=2006_07_EO%2F23-2805925_990_200512.pdf
East Falls Development Corporation,232805925,2004,https://projects.propublica.org/nonprofits/download-filing?path=2005_06_EO%2F23-2805925_990_200412.pdf
East Falls Development Corporation,232805925,2003,https://projects.propublica.org/nonprofits/download-filing?path=2004_06_EO%2F23-2805925_990_200312.pdf
East Falls Development Corporation,232805925,2002,https://projects.propublica.org/nonprofits/download-filing?path=2003_08_EO%2F23-2805925_990R_200212.pdf
Empowered CDC,845037676,2024,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F845037676_202412_990_2025073023608736.pdf
Esperanza,232552707,2024,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F232552707_202406_990_2025052223444805.pdf
Esperanza,232552707,2023,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_05_2024_prefixes_20-23%2F232552707_202306_990_2024051722393684.pdf
Esperanza,232552707,2022,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F232552707_202206_990_2023061221444069.pdf
Esperanza,232552707,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F232552707_202106_990_2022052520139350.pdf
Esperanza,232552707,2019,https://projects.propublica.org/nonprofits/download-filing?path=01_2021_prefixes_22-23%2F232552707_201906_990_2021012717665749.pdf
Esperanza,232552707,2018,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F232552707_201806_990_2019050316265948.pdf
Esperanza,232552707,2017,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F232552707_201706_990_2018031915224128.pdf
Esperanza,232552707,2016,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F232552707_201606_990_2017071314565762.pdf
Esperanza,232552707,2015,https://projects.propublica.org/nonprofits/download-filing?path=2016_07_EO%2F23-2552707_990_201506.pdf
Esperanza,232552707,2014,https://projects.propublica.org/nonprofits/download-filing?path=2015_03_EO%2F23-2552707_990_201406.pdf
Esperanza,232552707,2013,https://projects.propublica.org/nonprofits/download-filing?path=2014_06_EO%2F23-2552707_990_201306.pdf
Esperanza,232552707,2012,https://projects.propublica.org/nonprofits/download-filing?path=2013_05_EO%2F23-2552707_990_201206.pdf
Esperanza,232552707,2011,https://projects.propublica.org/nonprofits/download-filing?path=2012_06_EO%2F23-2552707_990_201106.pdf
Esperanza,232552707,2010,https://projects.propublica.org/nonprofits/download-filing?path=2011_06_EO%2F23-2552707_990_201006.pdf
Esperanza,232552707,2009,https://projects.propublica.org/nonprofits/download-filing?path=2010_07_EO%2F23-2552707_990_200906.pdf
Esperanza,232552707,2008,https://projects.propublica.org/nonprofits/download-filing?path=2009_03_EO%2F23-2552707_990_200806.pdf
Esperanza,232552707,2007,https://projects.propublica.org/nonprofits/download-filing?path=2008_06_EO%2F23-2552707_990_200706.pdf
Esperanza,232552707,2006,https://projects.propublica.org/nonprofits/download-filing?path=2007_03_EO%2F23-2552707_990_200606.pdf
Esperanza,232552707,2005,https://projects.propublica.org/nonprofits/download-filing?path=2006_05_EO%2F23-2552707_990_200506.pdf
Esperanza,232552707,2004,https://projects.propublica.org/nonprofits/download-filing?path=2005_06_EO%2F23-2552707_990_200406.pdf
Esperanza,232552707,2003,https://projects.propublica.org/nonprofits/download-filing?path=2004_05_EO%2F23-2552707_990_200306.pdf
Esperanza,232552707,2002,https://projects.propublica.org/nonprofits/download-filing?path=2003_02_EO%2F23-2552707_990_200206.pdf
Esperanza,232552707,2001,https://projects.propublica.org/nonprofits/download-filing?path=2002_02_EO%2F23-2552707_990_200106.pdf
Frankford CDC,232738932,2022,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_01_2024_prefixes_22-23%2F232738932_202212_990_2024010422169292.pdf
Frankford CDC,232738932,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F232738932_202112_990_2023051221217498.pdf
Frankford CDC,232738932,2019,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_01_2022_prefixes_20-25%2F232738932_201912_990_2022011819479637.pdf
Frankford CDC,232738932,2018,https://projects.propublica.org/nonprofits/download-filing?path=06_2020_prefixes_20-23%2F232738932_201812_990_2020061017185053.pdf
Frankford CDC,232738932,2017,https://projects.propublica.org/nonprofits/download-filing?path=03_2019_prefixes_22-23%2F232738932_201712_990_2019030816158499.pdf
Frankford CDC,232738932,2016,https://projects.propublica.org/nonprofits/download-filing?path=01_2018_prefixes_23-23%2F232738932_201612_990_2018010515088164.pdf
Frankford CDC,232738932,2015,https://projects.propublica.org/nonprofits/download-filing?path=2016_12_EO%2F23-2738932_990_201512.pdf
Frankford CDC,232738932,2014,https://projects.propublica.org/nonprofits/download-filing?path=2015_12_EO%2F23-2738932_990_201412.pdf
Frankford CDC,232738932,2013,https://projects.propublica.org/nonprofits/download-filing?path=2014_06_EO%2F23-2738932_990_201312.pdf
Frankford CDC,232738932,2012,https://projects.propublica.org/nonprofits/download-filing?path=2013_05_EO%2F23-2738932_990_201212.pdf
Frankford CDC,232738932,2011,https://projects.propublica.org/nonprofits/download-filing?path=2012_07_EO%2F23-2738932_990_201112.pdf
Frankford CDC,232738932,2010,https://projects.propublica.org/nonprofits/download-filing?path=2011_09_EO%2F23-2738932_990_201012.pdf
Frankford CDC,232738932,2009,https://projects.propublica.org/nonprofits/download-filing?path=2010_08_EO%2F23-2738932_990_200912.pdf
Frankford CDC,232738932,2008,https://projects.propublica.org/nonprofits/download-filing?path=2009_07_EO%2F23-2738932_990_200812.pdf
Frankford CDC,232738932,2007,https://projects.propublica.org/nonprofits/download-filing?path=2008_07_EO%2F23-2738932_990_200712.pdf
Frankford CDC,232738932,2006,https://projects.propublica.org/nonprofits/download-filing?path=2008_03_EO%2F23-2738932_990_200612.pdf
